"Estimate","Std. Error","df","t value","Pr(>|t|)","predictor"
"(Intercept)",-2.6128425695548,0.094211338800142,31.3252642629574,-27.7338439600952,1.30049348592376e-23,"school.close.red"
"school.close.red2",-0.0228261906055042,0.0419825509776516,539.879284396187,-0.543706613198782,0.586867821966787,"school.close.red"
"school.close.red3",0.111795331079747,0.0344456008956053,541.409358566007,3.24556193455781,0.001244625726979,"school.close.red"
"time",-0.000789198465832015,0.00580581226715648,27.6496090104466,-0.135932481023632,0.892859515022157,"school.close.red"
"(Intercept)1",-2.45099163584406,0.098911572462712,31.48466698367,-24.7796246164021,3.22653913008569e-22,"close.transport.red"
"close.transport.red1",-0.174516173961383,0.0420360186428807,549.166296131013,-4.15158665343631,3.82698388869848e-05,"close.transport.red"
"time1",-0.000759032406037603,0.0062624297258705,27.9024860304158,-0.121204139489501,0.904397991470351,"close.transport.red"
"(Intercept)2",-2.30264137538552,0.119204601771175,70.3615376949988,-19.3167154721566,7.65848954171835e-30,"restric.gather.red"
"restric.gather.red1",-0.296975003680957,0.110052965121349,542.50429036334,-2.69847344279639,0.00718284778676604,"restric.gather.red"
"restric.gather.red3",-0.218769147469671,0.0802033965286869,523.422596513382,-2.72767933701439,0.00659236597508095,"restric.gather.red"
"restric.gather.red4",-0.276461719486807,0.0794678003798678,521.500973375596,-3.47891495882961,0.00054556491479131,"restric.gather.red"
"time2",-0.000747041442824308,0.00626181338665079,27.7584794210895,-0.119301134782599,0.905896015839096,"restric.gather.red"
"(Intercept)3",-2.00841063575424,0.223225496977707,30.8424062101603,-8.99722774927821,3.93101199321576e-10,"pop_denlog"
"pop_denlog",-0.107026585874485,0.0406932030117465,27.9976286307887,-2.63008507449244,0.0137154976721695,"pop_denlog"
"time3",-0.00140608922865723,0.0060525045153289,28.0445139922854,-0.23231527132216,0.817980163449892,"pop_denlog"
"(Intercept)4",-2.53102502764917,0.0960038454747983,29.2411831759574,-26.3637879829885,6.21859510913219e-22,"pp.vac.100"
"pp.vac.1001",-0.0607682096952799,0.0401176573476556,529.889864803594,-1.5147497065611,0.130432048902214,"pp.vac.100"
"pp.vac.1002",-0.117373560732444,0.0588901375612818,549.454376533703,-1.9930936756652,0.046745277532225,"pp.vac.100"
"pp.vac.1003",-0.163785477929288,0.0741826877099342,553.142389396783,-2.20786659240111,0.027663144940259,"pp.vac.100"
"pp.vac.1004",-0.256442364751392,0.0976635932594618,506.2775098717,-2.62577237016156,0.0089068858901851,"pp.vac.100"
"time4",0.00667111123104872,0.00673396777610012,44.12760636829,0.990665749058899,0.327250133139581,"pp.vac.100"
"(Intercept)5",-2.57637775639644,0.0907466581191184,28.2012764140331,-28.390883034112,2.7386971204187e-22,"ful.vac.100"
"ful.vac.100",-0.00751215290193919,0.00212380655081176,398.790346976015,-3.53711730433636,0.000452095818428859,"ful.vac.100"
"time5",0.00456685927616833,0.00579222440952077,32.010771896265,0.788446536819552,0.436235971955837,"ful.vac.100"
