"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.654016383470467,0.282375862651728,-2.31612000164868,0.0205517174982347
"uhc_index",-0.00834034595010037,0.00406928782799698,-2.04958368703197,0.0404050736510544
"inter.travel.red1",-0.0300123592697784,0.061666268410466,-0.486690050223385,0.626477997313645
"inter.travel.red2",-0.162898305793012,0.0673331934523983,-2.41928679512541,0.0155509739869993
"wear.mask.red2",-0.136099120631696,0.0763650660457415,-1.78221702250837,0.0747138479243694
"wear.mask.red3",-0.0807393196358323,0.0600218934801943,-1.34516448839579,0.17857212136512
"wear.mask.red1",-0.238947594388641,0.0639629771868934,-3.73571720544621,0.000187180931497947
"test.policy.red2",-0.101022416319579,0.0684857301898166,-1.4750870880632,0.140189131351384
"test.policy.red1",-0.0603376559808481,0.0578818183035549,-1.04242848184924,0.297213067227093
"time",-0.0341756746454629,0.00485758207038245,-7.03553211253767,1.9850199240043e-12
