"AIC","AICc","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","npi"
503.756867827196,504.028054267874,538.089420943663,0.751054338651581,0.295662576518168,0.646553408850864,0.310705798834834,0.326627388156653,"school.close.red"
509.182902353145,509.454088793823,543.515455469611,0.746279904411334,0.295173623794833,0.640024686711197,0.310969908119749,0.327154106897267,"work.close.red"
510.430942540788,510.641468856577,540.471926517696,0.741120261714723,0.289335731254551,0.635721465577151,0.314684587035613,0.330761770691965,"cancel.pubevent.red"
514.932563176371,515.272185817881,553.556685432396,0.756038363656824,0.291389953181967,0.655718067449551,0.311767850027228,0.327805732862276,"restric.gather.red"
508.527613736041,508.73814005183,538.568597712949,0.753416050864246,0.282727452463478,0.65622001011659,0.312246598615121,0.328448600778926,"stay.home.red"
513.196348660252,513.406874976042,543.23733263716,0.741447731123364,0.286691530825473,0.637530913973523,0.314146342643072,0.330460476978668,"restric.move.red"
503.621812985205,504.037692002218,546.537504380788,0.791517507544813,0.294944045983134,0.704303621198553,0.305417174233517,0.321299682688441,"inter.travel"
514.140167945892,514.41135438657,548.472721062358,0.736329670086755,0.301134884950142,0.622716423763068,0.315194181833902,0.331190945896424,"test.policy.red"
509.074928981817,509.346115422495,543.407482098284,0.763193209819991,0.314726271072105,0.654434746024058,0.31265577103095,0.328734492361918,"contact.tracing"
509.72010982173,510.135988838743,552.635801217313,0.728679641308153,0.338451981567528,0.589870498993049,0.311894788594734,0.327737254164752,"wear.mask"
515.041428400694,515.251954716483,545.082412377602,0.739600953589033,0.35634052906762,0.59543973456374,0.316611134799234,0.332735500094376,"median_age"
515.344528023239,515.555054339029,545.385512000147,0.734564242168011,0.36396137811236,0.582673522176645,0.316576629272649,0.332739186423278,"uhc_index"
515.747235866903,516.018422307581,550.079788983369,0.734511364914583,0.333001928880604,0.601964913272,0.316466478243087,0.332729326247994,"incomegroup2"
