"Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.319755854640413,0.423281706798534,33.2231499423842,-0.755420915916417,0.455319068385067
"uhc_index",-0.0131085019215158,0.00611954743265041,31.4632889458912,-2.14207048246351,0.0400331178093147
"inter.travel.red1",-0.059617074058599,0.071211400226132,494.020244050379,-0.837184409649084,0.402893722511708
"inter.travel.red2",-0.238736183751382,0.0742383099434361,461.469414751818,-3.21580844086134,0.00139212587945715
"wear.mask.red2",-0.184826924788126,0.0848312410769041,333.205559957871,-2.17876011763839,0.0300498145644763
"wear.mask.red3",-0.0891688040172808,0.0707413364499532,335.209125410434,-1.26049080342671,0.208369063406032
"wear.mask.red1",-0.311671306459842,0.0689130791222445,506.738185434287,-4.52267277024395,7.61245334700624e-06
"test.policy.red2",-0.169077857209245,0.0816383010757952,337.485477886621,-2.07106045791262,0.0391128517629141
"test.policy.red1",-0.092283000732407,0.0673839570305505,374.048377931878,-1.36950996645341,0.171661553996103
"time",-0.0461059089297549,0.00582763634463539,52.2234896701011,-7.91159677837439,1.70745363599467e-10
